Project Description,Location,Contractor,Cost,Completion Date,,Description,Start_Date,Contractor,Contract_Cost,Location,Region,Category,FY
"Installation of Booster Pump (Accessories) along Estero dela Reina, Manila City (Phase II)",CITY OF MANILA,A.M. SALONG CONSTRUCTION,"37,962,740.47",04/20/2025,REPORT,"Installation of Booster Pump (Accessories) along Estero dela Reina, Manila City (Phase II)",03/12/2025,"CONTRACTOR:
A.M. SALONG CONSTRUCTION","CONTRACT COST: 37,962,740.47","CITY OF MANILA (14.599387 , 120.979339)",National Capital Region,Construction of Flood Mitigation Facility,FY 2025
"Construction of Flood Control Structure along Inerangan River, Segment 14, Ramos, Tarlac",TARLAC,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,"70,167,867.76",04/18/2025,REPORT,"Construction of Flood Control Structure along Inerangan River, Segment 14, Ramos, Tarlac",02/11/2025,"CONTRACTOR:
ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.","CONTRACT COST: 70,167,867.76","TARLAC (15.682808 , 120.628406)",Region III,Construction of Flood Mitigation Structure,FY 2025
"Rehabilitation of Sabo Dam at Camangaan West CIS, Moncada, Tarlac",TARLAC,RD8 BUILDERS CORPORATION UNDER THE NAME OF RD8 BUILDERS,"14,700,000.00",04/16/2025,REPORT,"Rehabilitation of Sabo Dam at Camangaan West CIS, Moncada, Tarlac",01/27/2025,"CONTRACTOR:
RD8 BUILDERS CORPORATION UNDER THE NAME OF RD8 BUILDERS","CONTRACT COST: 14,700,000.00","TARLAC (15.716535 , 120.570923)",Region III,Rehabilitation / Major Repair of Slope Protection Structure,FY 2025
"Construction of Flood Control Structures along Susubaen Creek (Segment 41), Ramos, Tarlac",TARLAC,GJE BUILDERS CORPORATION (FORMERLY: GJE BUILDERS),"47,496,290.56",04/16/2025,REPORT,"Construction of Flood Control Structures along Susubaen Creek (Segment 41), Ramos, Tarlac",01/27/2025,"CONTRACTOR:
GJE BUILDERS CORPORATION (FORMERLY: GJE BUILDERS)","CONTRACT COST: 47,496,290.56","TARLAC (15.684142 , 120.639800)",Region III,Construction of Flood Mitigation Structure,FY 2025
"Construction of Itum River Control, Itum, Duero, Bohol",BOHOL,LEDA CONSTRUCTION INCORPORATED,"96,019,080.53",04/15/2025,REPORT,"Construction of Itum River Control, Itum, Duero, Bohol",03/08/2024,"CONTRACTOR:
LEDA CONSTRUCTION INCORPORATED","CONTRACT COST: 96,019,080.53","BOHOL (9.713505 , 124.412282)",Region VII,Construction of Flood Mitigation Structure,FY 2024
"Construction of Ubay Flood Control Structure, Barangay Bongbong-Barangay San Pascual, Ubay, Bohol",BOHOL,ZLREJ TRADING AND CONSTRUCTION CORPORATION,"39,565,619.24",04/15/2025,REPORT,"Construction of Ubay Flood Control Structure, Barangay Bongbong-Barangay San Pascual, Ubay, Bohol",05/09/2024,"CONTRACTOR:
ZLREJ TRADING AND CONSTRUCTION CORPORATION","CONTRACT COST: 39,565,619.24","BOHOL (9.952012 , 124.431825)",Region VII,Construction of Flood Mitigation Structure,FY 2024
"Construction of Bucayao River Control at Camansihan Section, Calapan City, Oriental Mindoro",ORIENTAL MINDORO,MINDALIFI CONSTRUCTION AND SUPPLY,"48,999,976.56",04/14/2025,REPORT,"Construction of Bucayao River Control at Camansihan Section, Calapan City, Oriental Mindoro",02/12/2025,"CONTRACTOR:
MINDALIFI CONSTRUCTION AND SUPPLY","CONTRACT COST: 48,999,976.56","ORIENTAL MINDORO (13.327222 , 121.227778)",Region IV-B,Construction of Flood Mitigation Structure,FY 2025
"Construction of Flood Control Structure along Puerto Creek, Package 1, Cagayan de Oro City",MISAMIS ORIENTAL,OLISON CORPORATION / MAMSAR CONSTRUCTION AND INDUSTRIAL CORPORATION,"110,634,633.37",04/12/2025,REPORT,"Construction of Flood Control Structure along Puerto Creek, Package 1, Cagayan de Oro City",05/03/2024,"CONTRACTOR:
OLISON CORPORATION / MAMSAR CONSTRUCTION AND INDUSTRIAL CORPORATION","CONTRACT COST: 110,634,633.37","MISAMIS ORIENTAL (8.495307 , 124.751567)",Region X,Construction of Flood Mitigation Structure,FY 2024
"Rehabilitation of Ibayo-Saluysoy Pumping Stations including Flood Gate, Meycauayan City, Bulacan",BULACAN,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP. / JB CONSTRUCTION AND SUPPLY INC. (FORMERLY:JB CONSTRUCTION AND SUPPLY),"48,249,942.61",04/11/2025,REPORT,"Rehabilitation of Ibayo-Saluysoy Pumping Stations including Flood Gate, Meycauayan City, Bulacan",06/05/2024,"CONTRACTOR:
ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP. / JB CONSTRUCTION AND SUPPLY INC. (FORMERLY:JB CONSTRUCTION AND SUPPLY)","CONTRACT COST: 48,249,942.61","BULACAN (14.751341 , 120.952471)",Region III,Construction of Flood Mitigation Facility,FY 2024
"Construction of Flood Control and Drainage Structures (FCDS- Package 3) along Magat River, Baretbet Section, Bagabag, Nueva Viscaya",NUEVA VIZCAYA,EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),"144,750,000.00",04/11/2025,REPORT,"Construction of Flood Control and Drainage Structures (FCDS- Package 3) along Magat River, Baretbet Section, Bagabag, Nueva Viscaya",02/16/2024,"CONTRACTOR:
EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION)","CONTRACT COST: 144,750,000.00","NUEVA VIZCAYA (16.590100 , 121.264800)",Region II,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Mitigation Structure, barangay Poblacion (Phase 2), Impasug-ong, Bukidnon",BUKIDNON,ROSBILL CONSTRUCTION AND SUPPLY,"96,500,000.00",04/10/2025,REPORT,"Construction of Flood Mitigation Structure, barangay Poblacion (Phase 2), Impasug-ong, Bukidnon",01/31/2024,"CONTRACTOR:
ROSBILL CONSTRUCTION AND SUPPLY","CONTRACT COST: 96,500,000.00","BUKIDNON (8.150217 , 125.135744)",Region X,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control along Mananga River (Right Side) at Sitio Tigib, Barangay Lagtang, Talisay City, Cebu (Package 2)",CEBU,QM BUILDERS,"144,750,000.00",04/10/2025,REPORT,"Construction of Flood Control along Mananga River (Right Side) at Sitio Tigib, Barangay Lagtang, Talisay City, Cebu (Package 2)",02/20/2024,"CONTRACTOR:
QM BUILDERS","CONTRACT COST: 144,750,000.00","CEBU (10.276356 , 123.825248)",Region VII,Construction of Flood Mitigation Structure,FY 2024
"Construction of Viga Flood Control Structure, Antequera, Bohol",BOHOL,"N.N. YU CONSTRUCTION, INC. (FORMERLY: YU CONSTRUCTION)","67,500,000.00",04/10/2025,REPORT,"Construction of Viga Flood Control Structure, Antequera, Bohol",05/03/2024,"CONTRACTOR:
N.N. YU CONSTRUCTION, INC. (FORMERLY: YU CONSTRUCTION)","CONTRACT COST: 67,500,000.00","BOHOL (9.749800 , 123.929000)",Region VII,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control and Drainage Structures (FCDS- Package 8) along Magat River, Baretbet Section, Bagabag, Nueva Viscaya",NUEVA VIZCAYA,EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),"144,750,000.00",04/10/2025,REPORT,"Construction of Flood Control and Drainage Structures (FCDS- Package 8) along Magat River, Baretbet Section, Bagabag, Nueva Viscaya",02/21/2024,"CONTRACTOR:
EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION)","CONTRACT COST: 144,750,000.00","NUEVA VIZCAYA (16.590180 , 121.264860)",Region II,Construction of Flood Mitigation Structure,FY 2024
"Construction of Tambak Uno Pumping Station, Barangay Tanza 2, Navotas City",NAVOTAS CITY,721 BUILDERS CORPORATION,"29,399,282.43",04/08/2025,REPORT,"Construction of Tambak Uno Pumping Station, Barangay Tanza 2, Navotas City",02/12/2024,"CONTRACTOR:
721 BUILDERS CORPORATION","CONTRACT COST: 29,399,282.43","NAVOTAS CITY (14.676800 , 120.939567)",National Capital Region,Construction of Flood Mitigation Facility,FY 2024
"Construction of Flood Control Structure, Sitio Ponod to Sitio Sarangani, Brgy. Poblacion, Candijay, Bohol",BOHOL,ZLREJ TRADING AND CONSTRUCTION CORPORATION,"96,399,998.65",04/07/2025,REPORT,"Construction of Flood Control Structure, Sitio Ponod to Sitio Sarangani, Brgy. Poblacion, Candijay, Bohol",06/10/2024,"CONTRACTOR:
ZLREJ TRADING AND CONSTRUCTION CORPORATION","CONTRACT COST: 96,399,998.65","BOHOL (9.808942 , 124.496504)",Region VII,Construction of Flood Mitigation Structure,FY 2024
"Construction of Slope Protection Structure, Calinat Dam at PRIS SDC, Science City of Muñoz, Nueva Ecija",NUEVA ECIJA,IJK MAE CONSTRUCTION INC.,"9,701,851.92",04/07/2025,REPORT,"Construction of Slope Protection Structure, Calinat Dam at PRIS SDC, Science City of Muñoz, Nueva Ecija",02/11/2025,"CONTRACTOR:
IJK MAE CONSTRUCTION INC.","CONTRACT COST: 9,701,851.92","NUEVA ECIJA (15.676996 , 120.853281)",Region III,Construction of Flood Mitigation Structure,FY 2025
"Bank Improvement along Sta. Maria River and Tributaries, Sta. 08+900 - Sta. 09+304 (San Jose Patag-Pulong Buhangin Section), Sta. Maria, Bulacan",BULACAN,"NEWBIG FOUR J CONSTRUCTION INC., (FORMERLY FOUR J","98,912,408.09",04/06/2025,REPORT,"Bank Improvement along Sta. Maria River and Tributaries, Sta. 08+900 - Sta. 09+304 (San Jose Patag-Pulong Buhangin Section), Sta. Maria, Bulacan",03/18/2024,"CONTRACTOR:
NEWBIG FOUR J CONSTRUCTION INC., (FORMERLY FOUR J","CONTRACT COST: 98,912,408.09","BULACAN (14.840463 , 120.988277)",Region III,Rehabilitation / Major Repair of Flood Control Structure,FY 2024
"Bank Improvement along Sta. Maria River and Tributaries, Sta. 09+304 - Sta. 09+708 (San Jose Patag-Pulong Buhangin Section), Sta. Maria, Bulacan",BULACAN,"NEWBIG FOUR J CONSTRUCTION INC., (FORMERLY FOUR J","98,916,463.13",04/06/2025,REPORT,"Bank Improvement along Sta. Maria River and Tributaries, Sta. 09+304 - Sta. 09+708 (San Jose Patag-Pulong Buhangin Section), Sta. Maria, Bulacan",03/18/2024,"CONTRACTOR:
NEWBIG FOUR J CONSTRUCTION INC., (FORMERLY FOUR J","CONTRACT COST: 98,916,463.13","BULACAN (14.843209 , 120.986514)",Region III,Rehabilitation / Major Repair of Flood Control Structure,FY 2024
"Construction of Puerto Galera Urban Drainage System, Brgy. San Isidro, Oriental Mindoro",ORIENTAL MINDORO,L.N. SALVADOR CONSTRUCTION CORP. (FOR: L.N. SALVADOR CONSTRUCTION),"53,074,970.85",04/02/2025,REPORT,"Construction of Puerto Galera Urban Drainage System, Brgy. San Isidro, Oriental Mindoro",02/08/2024,"CONTRACTOR:
L.N. SALVADOR CONSTRUCTION CORP. (FOR: L.N. SALVADOR CONSTRUCTION)","CONTRACT COST: 53,074,970.85","ORIENTAL MINDORO (13.505833 , 120.910278)",Region IV-B,Construction of Drainage Structure,FY 2024
"Construction of River Protection Structure at Cabuyao River, near Malitlit-Eton Access Road, Cabuyao City, Laguna",LAGUNA,POWER K CONSTRUCTION SUPPLY & SERVICES / EOZ CONSTRUCTION,"85,373,200.00",04/02/2025,REPORT,"Construction of River Protection Structure at Cabuyao River, near Malitlit-Eton Access Road, Cabuyao City, Laguna",03/01/2024,"CONTRACTOR:
POWER K CONSTRUCTION SUPPLY & SERVICES / EOZ CONSTRUCTION","CONTRACT COST: 85,373,200.00","LAGUNA (14.274480 , 121.115096)",Region IV-A,Construction of Flood Mitigation Structure,FY 2024
"Upgrading of Lerma Pumping Station, Manila City",CITY OF MANILA,JJPR CONSTRUCTION SERVICES,"47,318,052.55",04/02/2025,REPORT,"Upgrading of Lerma Pumping Station, Manila City",02/12/2025,"CONTRACTOR:
JJPR CONSTRUCTION SERVICES","CONTRACT COST: 47,318,052.55","CITY OF MANILA (14.605061 , 120.986910)",National Capital Region,Construction of Flood Mitigation Facility,FY 2025
"Upgrading of Recto Pumping Station, Manila City",CITY OF MANILA,JJPR CONSTRUCTION SERVICES,"47,322,508.07",04/02/2025,REPORT,"Upgrading of Recto Pumping Station, Manila City",02/12/2025,"CONTRACTOR:
JJPR CONSTRUCTION SERVICES","CONTRACT COST: 47,322,508.07","CITY OF MANILA (14.603366 , 120.985038)",National Capital Region,Construction of Flood Mitigation Facility,FY 2025
"Construction of Bank Revetment along Bislig River (Burboanan Section), Bislig City, Surigao del Sur",SURIGAO DEL SUR,ME 3 CONSTRUCTION / EVENPAR CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: EVEN PAR CONST. CO. INC.),"96,499,535.19",03/31/2025,REPORT,"Construction of Bank Revetment along Bislig River (Burboanan Section), Bislig City, Surigao del Sur",04/11/2024,"CONTRACTOR:
ME 3 CONSTRUCTION / EVENPAR CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: EVEN PAR CONST. CO. INC.)","CONTRACT COST: 96,499,535.19","SURIGAO DEL SUR (8.181220 , 126.255880)",Region XIII,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control Structure (Roa Crusher) Upper Balulang Section 3, Cagayan de Oro City",MISAMIS ORIENTAL,TRIPARCO DEVELOPMENT CORPORATION,"86,096,230.70",03/31/2025,REPORT,"Construction of Flood Control Structure (Roa Crusher) Upper Balulang Section 3, Cagayan de Oro City",04/18/2024,"CONTRACTOR:
TRIPARCO DEVELOPMENT CORPORATION","CONTRACT COST: 86,096,230.70","MISAMIS ORIENTAL (8.425388 , 124.630041)",Region X,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control System with Groundsill Package 1 at Baranagy Lamon, Goa, Cam Sur",CAMARINES SUR,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)","120,625,000.00",03/31/2025,REPORT,"Construction of Flood Control System with Groundsill Package 1 at Baranagy Lamon, Goa, Cam Sur",05/09/2024,"CONTRACTOR:
SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)","CONTRACT COST: 120,625,000.00","CAMARINES SUR (13.781894 , 123.433059)",Region V,Construction of Flood Mitigation Structure,FY 2024
"Construction of Drainage System along Barangay 61, Caloocan City",CALOOCAN CITY,DMLC BUILDERS,"23,958,667.09",03/31/2025,REPORT,"Construction of Drainage System along Barangay 61, Caloocan City",05/06/2024,"CONTRACTOR:
DMLC BUILDERS","CONTRACT COST: 23,958,667.09","CALOOCAN CITY (14.648936 , 120.979359)",National Capital Region,Construction of Drainage Structure,FY 2024
"Construction of Flood Control Structure along Saguiaran River, Kalilangan, Bukidnon, Package 4",BUKIDNON,PYRAMID CONSOLIDATED BUILDERS & GEN. MDSE.,"77,200,000.00",03/30/2025,REPORT,"Construction of Flood Control Structure along Saguiaran River, Kalilangan, Bukidnon, Package 4",04/11/2022,"CONTRACTOR:
PYRAMID CONSOLIDATED BUILDERS & GEN. MDSE.","CONTRACT COST: 77,200,000.00","BUKIDNON (7.757771 , 124.747078)",Region X,Construction of Flood Mitigation Structure,FY 2022
"Rehabilitation of Spillway, Minsubong, Tangub City, Misamis Occidental",MISAMIS OCCIDENTAL,ABIB BUILDERS ENTERPRISE,"4,752,999.94",03/28/2025,REPORT,"Rehabilitation of Spillway, Minsubong, Tangub City, Misamis Occidental",06/21/2024,"CONTRACTOR:
ABIB BUILDERS ENTERPRISE","CONTRACT COST: 4,752,999.94","MISAMIS OCCIDENTAL (8.080227 , 123.756370)",Region X,Rehabilitation / Major Repair of Flood Control Structure,FY 2024
"Construction of Shore Line Protection, Barangay Southern Looc, Plaridel, Misamis Occidental",MISAMIS OCCIDENTAL,ANIMAS BROS CONSTRUCTION CORPORATION (FORMERLY: ANIMAS BROS CONSTRUCTION),"86,849,960.44",03/28/2025,REPORT,"Construction of Shore Line Protection, Barangay Southern Looc, Plaridel, Misamis Occidental",05/16/2024,"CONTRACTOR:
ANIMAS BROS CONSTRUCTION CORPORATION (FORMERLY: ANIMAS BROS CONSTRUCTION)","CONTRACT COST: 86,849,960.44","MISAMIS OCCIDENTAL (8.603440 , 123.725840)",Region X,Construction of Flood Mitigation Structure,FY 2024
"Construction of Revetment along Bantac River Sta. 0+490 - Sta. 1+290 R/S, Barangay Bantac, Magpet, Cotabato",COTABATO (NORTH COTABATO),JARGON CONSTRUCTION & SUPPLY,"49,000,000.00",03/25/2025,REPORT,"Construction of Revetment along Bantac River Sta. 0+490 - Sta. 1+290 R/S, Barangay Bantac, Magpet, Cotabato",02/18/2024,"CONTRACTOR:
JARGON CONSTRUCTION & SUPPLY","CONTRACT COST: 49,000,000.00","COTABATO (NORTH COTABATO) (7.112157 , 125.128684)",Region XII,Construction of Dike,FY 2024
"Construction of Flood Control Structure (Downstream of Cabulawan Bridge), Lagonglong, Misamis Oriental",MISAMIS ORIENTAL,JEJOR'S CONSTRUCTION CORPORATION,"49,000,000.00",03/25/2025,REPORT,"Construction of Flood Control Structure (Downstream of Cabulawan Bridge), Lagonglong, Misamis Oriental",05/27/2024,"CONTRACTOR:
JEJOR'S CONSTRUCTION CORPORATION","CONTRACT COST: 49,000,000.00","MISAMIS ORIENTAL (8.813225 , 124.791107)",Region X,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Mitigation Structure in Barangay Laguitas, Malaybalay City, Bukidnon",BUKIDNON,"JT GAMOLO CONSTRUCTION, INCORPORATION (FORMERLY:J.T. GAMOLO CONSTRUCTION)","141,855,000.00",03/25/2025,REPORT,"Construction of Flood Mitigation Structure in Barangay Laguitas, Malaybalay City, Bukidnon",01/31/2024,"CONTRACTOR:
JT GAMOLO CONSTRUCTION, INCORPORATION (FORMERLY:J.T. GAMOLO CONSTRUCTION)","CONTRACT COST: 141,855,000.00","BUKIDNON (8.092756 , 125.131481)",Region X,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Mitigation Structure in Barangay Magkalungay, San Fernando, Bukidnon",BUKIDNON,"JT GAMOLO CONSTRUCTION, INCORPORATION (FORMERLY:J.T. GAMOLO CONSTRUCTION)","144,750,000.00",03/25/2025,REPORT,"Construction of Flood Mitigation Structure in Barangay Magkalungay, San Fernando, Bukidnon",01/31/2024,"CONTRACTOR:
JT GAMOLO CONSTRUCTION, INCORPORATION (FORMERLY:J.T. GAMOLO CONSTRUCTION)","CONTRACT COST: 144,750,000.00","BUKIDNON (7.860592 , 125.370344)",Region X,Construction of Flood Mitigation Structure,FY 2024
"Construction of San Jacinto Shore Protection Structure, Sitio Cagas, Barangay Calipat-an, San Jacinto, Masbate",MASBATE,A3 CONSTRUCTION & SUPPLY / EJ CANTORIA CONSTRUCTION & SUPPLY,"63,156,272.13",03/25/2025,REPORT,"Construction of San Jacinto Shore Protection Structure, Sitio Cagas, Barangay Calipat-an, San Jacinto, Masbate",04/08/2024,"CONTRACTOR:
A3 CONSTRUCTION & SUPPLY / EJ CANTORIA CONSTRUCTION & SUPPLY","CONTRACT COST: 63,156,272.13","MASBATE (12.559440 , 123.738890)",Region V,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Mitigation Structure along Pampanga River, Barangay Calaba, San Isidro, Nueva Ecija",NUEVA ECIJA,TRIPLE S BUILDERS INC.,"34,128,123.18",03/25/2025,REPORT,"Construction of Flood Mitigation Structure along Pampanga River, Barangay Calaba, San Isidro, Nueva Ecija",02/11/2025,"CONTRACTOR:
TRIPLE S BUILDERS INC.","CONTRACT COST: 34,128,123.18","NUEVA ECIJA (15.303961 , 120.868675)",Region III,Construction of Flood Mitigation Structure,FY 2025
"Construction of Flood Control Structure along Cagayan River, Barangay Calaccab, Angadanan, Isabela",ISABELA,"INFINITUM 888 CONSTRUCTION AND DEVELOPMENT CORPORATION / ALGO CONSTRUCTION AND POWER DEVELOPMENT, INC.","77,163,172.60",03/25/2025,REPORT,"Construction of Flood Control Structure along Cagayan River, Barangay Calaccab, Angadanan, Isabela",07/17/2024,"CONTRACTOR:
INFINITUM 888 CONSTRUCTION AND DEVELOPMENT CORPORATION / ALGO CONSTRUCTION AND POWER DEVELOPMENT, INC.","CONTRACT COST: 77,163,172.60","ISABELA (16.717258 , 121.728525)",Region II,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control Structure Along Tipo River, Buenavista, Marinduque",GUIMARAS,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)","96,495,777.91",03/24/2025,REPORT,"Construction of Flood Control Structure Along Tipo River, Buenavista, Marinduque",02/19/2024,"CONTRACTOR:
SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)","CONTRACT COST: 96,495,777.91","GUIMARAS (13.266521 , 121.928759)",Region IV-B,Construction of Flood Mitigation Structure,FY 2024
"Construction of Dumacaa River Flood Control Structure (Package 22), Lucena City, Quezon",QUEZON,UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES,"96,500,000.00",03/24/2025,REPORT,"Construction of Dumacaa River Flood Control Structure (Package 22), Lucena City, Quezon",04/29/2024,"CONTRACTOR:
UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES","CONTRACT COST: 96,500,000.00","QUEZON (13.942180 , 121.618160)",Region IV-A,Construction of Flood Mitigation Structure,FY 2024
"Construction of Concrete Revetment, Downstream of Sinawal Bridge, Sinawal River, Barangay Labangal, General Santos City",SOUTH COTABATO,J.G. ORANZA CONSTRUCTION,"120,624,229.69",03/21/2025,REPORT,"Construction of Concrete Revetment, Downstream of Sinawal Bridge, Sinawal River, Barangay Labangal, General Santos City",08/12/2024,"CONTRACTOR:
J.G. ORANZA CONSTRUCTION","CONTRACT COST: 120,624,229.69","SOUTH COTABATO (6.111089 , 125.149238)",Region XII,Construction of Revetment,FY 2024
"Construction of Flood Control along Daisug River,Lopez Jaena, Misamis Occidental",MISAMIS OCCIDENTAL,MINDANAO ROCK,"37,239,990.16",03/21/2025,REPORT,"Construction of Flood Control along Daisug River,Lopez Jaena, Misamis Occidental",03/11/2024,"CONTRACTOR:
MINDANAO ROCK","CONTRACT COST: 37,239,990.16","MISAMIS OCCIDENTAL (8.550070 , 123.772070)",Region X,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Mitigation Structure along Impasug-ong Bridge (Right Side), Impasug-ong, Bukidnon",BUKIDNON,ROSBILL CONSTRUCTION AND SUPPLY,"96,500,000.00",03/21/2025,REPORT,"Construction of Flood Mitigation Structure along Impasug-ong Bridge (Right Side), Impasug-ong, Bukidnon",01/31/2024,"CONTRACTOR:
ROSBILL CONSTRUCTION AND SUPPLY","CONTRACT COST: 96,500,000.00","BUKIDNON (8.305936 , 125.011853)",Region X,Construction of Flood Mitigation Structure,FY 2024
"Construction of Slope Protection Structure for Cagayan River Basin, Magat River, Aplat Section, Package 2, Aurora, Isabela",ISABELA,JWU CONSTRUCTION AND SUPPLY,"144,740,047.39",03/21/2025,REPORT,"Construction of Slope Protection Structure for Cagayan River Basin, Magat River, Aplat Section, Package 2, Aurora, Isabela",07/17/2024,"CONTRACTOR:
JWU CONSTRUCTION AND SUPPLY","CONTRACT COST: 144,740,047.39","ISABELA (16.952939 , 121.601353)",Region II,Construction of Slope Protection Structure,FY 2024
"Reconstruction/Rehabilitation of Drainage System Dapa, Surigao Del Norte",SURIGAO DEL NORTE,BOOMETRIX DEVELOPMENT CORP.,"67,049,933.50",03/20/2025,REPORT,"Reconstruction/Rehabilitation of Drainage System Dapa, Surigao Del Norte",08/30/2023,"CONTRACTOR:
BOOMETRIX DEVELOPMENT CORP.","CONTRACT COST: 67,049,933.50","SURIGAO DEL NORTE (9.757860 , 126.052240)",Region XIII,Construction of Drainage Structure,FY 2023
"Construction of Revetment along Mabato River Sta. 2+800 - Sta. 3+110 L/S (Junction with Overflow bridge), Barangay Bantac, Magpet, Cotabato",COTABATO (NORTH COTABATO),JARGON CONSTRUCTION & SUPPLY,"49,000,000.00",03/20/2025,REPORT,"Construction of Revetment along Mabato River Sta. 2+800 - Sta. 3+110 L/S (Junction with Overflow bridge), Barangay Bantac, Magpet, Cotabato",04/17/2024,"CONTRACTOR:
JARGON CONSTRUCTION & SUPPLY","CONTRACT COST: 49,000,000.00","COTABATO (NORTH COTABATO) (7.112974 , 125.130114)",Region XII,Construction of Revetment,FY 2024
"Construction of Flood Control Structure along Orel Creek, Barangay Banilad, Mandaue City",CEBU,ZLREJ TRADING AND CONSTRUCTION CORPORATION,"67,450,000.00",03/20/2025,REPORT,"Construction of Flood Control Structure along Orel Creek, Barangay Banilad, Mandaue City",09/11/2024,"CONTRACTOR:
ZLREJ TRADING AND CONSTRUCTION CORPORATION","CONTRACT COST: 67,450,000.00","CEBU (10.338610 , 123.921262)",Region VII,Construction of Flood Mitigation Structure,FY 2024
"Construction of Revetment along Marbol River (Phase II) Barangay New Cebu, Pres. Roxas, Cotabato",COTABATO (NORTH COTABATO),MARCUS CONSTRUCTION & SUPPLY,"96,493,871.31",03/19/2025,REPORT,"Construction of Revetment along Marbol River (Phase II) Barangay New Cebu, Pres. Roxas, Cotabato",04/09/2024,"CONTRACTOR:
MARCUS CONSTRUCTION & SUPPLY","CONTRACT COST: 96,493,871.31","COTABATO (NORTH COTABATO) (7.101255 , 125.043361)",Region XII,Construction of Revetment,FY 2024
"Construction of Flood Control Structure along Masalasa Creek (Segment 52), Tarlac City, Tarlac",TARLAC,WHITE OAK CONSTRUCTION & DEVELOPMENT CORP.,"24,125,000.00",03/19/2025,REPORT,"Construction of Flood Control Structure along Masalasa Creek (Segment 52), Tarlac City, Tarlac",02/17/2025,"CONTRACTOR:
WHITE OAK CONSTRUCTION & DEVELOPMENT CORP.","CONTRACT COST: 24,125,000.00","TARLAC (15.478608 , 120.634742)",Region III,Construction of Flood Mitigation Structure,FY 2025
"Construction of Flood Mitigation Structure, Barangay Quinyangan Diotay, Balud, Masbate",MASBATE,NEXT GENERATION CONSTRUCTION AND SUPPLY CORPORATION / 3R3M CONSTRUCTION AND SUPPLY CORPORATION (FORMERLY: 3R3M CONSTRUCTION AND SUPPLY),"62,724,959.24",03/17/2025,REPORT,"Construction of Flood Mitigation Structure, Barangay Quinyangan Diotay, Balud, Masbate",07/10/2024,"CONTRACTOR:
NEXT GENERATION CONSTRUCTION AND SUPPLY CORPORATION / 3R3M CONSTRUCTION AND SUPPLY CORPORATION (FORMERLY: 3R3M CONSTRUCTION AND SUPPLY)","CONTRACT COST: 62,724,959.24","MASBATE (11.964186 , 123.233907)",Region V,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control Structure, Brgy. Diteki, San Luis, Aurora",AURORA,GERRA CONSTRUCTION INCORPORATED (FORMERLY: GERRA CONSTRUCTION),"49,500,000.00",03/17/2025,REPORT,"Construction of Flood Control Structure, Brgy. Diteki, San Luis, Aurora",05/30/2024,"CONTRACTOR:
GERRA CONSTRUCTION INCORPORATED (FORMERLY: GERRA CONSTRUCTION)","CONTRACT COST: 49,500,000.00","AURORA (15.664580 , 121.427080)",Region III,Construction of Flood Mitigation Structure,FY 2024
